Column_Name,Data_Type,Min_Value,Max_Value,Unique_Values_Count,Missing_Values_Count,Mean_Value,Std_Dev,Sample_Values,Role,Skip_reason_phik,Phik_high_target,Phik_duplicate_feature,Data_leakage
DestAirportSeqID,INTEGER,1013505,1686901,429,0,1267631.8135820855,152544.7237787739,"1408202, 1125904, 1110902, 1233904, 1294503",cat,,,,
OriginAirportSeqID,INTEGER,1013505,1686901,429,0,1267633.6795076777,152544.35552369113,"1289208, 1467903, 1415002, 1025702, 1052906",cat,,,,
Flight_Number_Operating_Airline,INTEGER,1,9888,7411,0,2691.3428075882753,1838.766373303274,"4192, 4452, 207, 1674, 1912",cat,id,,,
Flight_Number_Marketing_Airline,INTEGER,1,9888,7387,0,2691.3828051809096,1838.7529740412372,"5172, 4294, 4305, 4322, 3898",num,id,,,
DestAirportID,INTEGER,10135,16869,388,0,12676.279583440051,1525.4491692843008,"10397, 10469, 11617, 11986, 12197",cat,,,,
OriginAirportID,INTEGER,10135,16869,388,0,12676.29824237914,1525.4454867867319,"10245, 12278, 13277, 13795, 14262",cat,,,,
OriginCityMarketID,INTEGER,30070,36133,362,0,31761.0894230833,1325.1006667584234,"30852, 30423, 34150, 31481, 31986",cat,,,,
DestCityMarketID,INTEGER,30070,36133,362,0,31761.108257162432,1325.0959531158564,"31003, 31641, 31775, 31898, 32124",cat,,,,
Distance,INTEGER,16,5812,1741,0,779.7345653947809,581.2738826627195,"1018, 679, 500, 554, 903",num,,,,
DOT_ID_Operating_Airline,INTEGER,19393,21171,28,0,20001.727754629403,391.2030463986853,"20427, 19687, 20409, 20398, 19805",cat,,,,
ArrTime_Total,INTEGER,0,1440,1441,0,868.6094218967589,343.1869567929392,"790, 472, 530, 958, 459",num,,true,,
WheelsOn_Total,INTEGER,0,1440,1441,0,865.5992781956112,341.01323570948693,"722, 1378, 996, 1311, 821",num,,true,,
WheelsOff_Total,INTEGER,0,1440,1441,0,801.2082182774395,322.63294268253634,"928, 1340, 707, 907, 1277",num,,true,,
DepTime_Total,INTEGER,0,1440,1441,0,788.6658457955193,320.091168940516,"532, 894, 655, 852, 1413",num,,true,,
ArrTimeBlk_start_Total,INTEGER,1,1380,19,0,873.5957614193323,309.4770609535357,"540, 1260, 900, 600, 1080",num,,,,
CRSArrTime_Total,INTEGER,1,1440,1440,0,905.1634367208749,304.6232190417858,"1337, 1259, 735, 1181, 810",num,,,,
DepTimeBlk_start_Total,INTEGER,1,1380,19,0,773.3705546612626,301.4521886782154,"480, 840, 900, 600, 1200",num,,,,
ArrTimeBlk_finish_Total,INTEGER,359,1439,19,0,939.3465607847587,293.2021978323522,"659, 899, 839, 1199, 1019",num,,,,
CRSDepTime_Total,INTEGER,1,1439,1425,0,806.5315862466877,290.437333866084,"1154, 617, 899, 428, 523",num,,,,
DepTimeBlk_finish_Total,INTEGER,359,1439,19,0,839.4276177714825,286.4128942432922,"419, 539, 1379, 599, 719",num,,,,
DOT_ID_Marketing_Airline,INTEGER,19393,21171,11,0,19827.92558165299,277.60147877098984,"20409, 20436, 20368, 19690, 19393",hot,,,,
ActualElapsedTime,INTEGER,-1228,1604,733,845637,133.29412005618005,70.77802766304686,"92, 174, 72, 182, 171",num,,,,true
CRSElapsedTime,INTEGER,-292,1645,733,22,138.76051152712088,70.77316330808515,"140, 120, 80, 185, 178",num,,,,
AirTime,INTEGER,-1244,1557,699,852561,109.08750293433017,69.06668637844243,"92, 88, 72, 77, 174",num,,,,
ArrDelay,INTEGER,-1290,7232,2052,846183,3.6093702680075275,49.27916456855153,"-28, 72, 182, 88, 77",num,,,,
DepDelay,INTEGER,-1280,7223,2012,763084,9.306866401943426,47.28010601810324,"-7, 13, -22, 105, 83",num,,,,true
DepDelayMinutes,INTEGER,0,7223,1862,763084,12.783107329971283,46.17336725938798,"46, 180, 51, 475, 210",num,,,,true
ArrDelayMinutes,INTEGER,0,7232,1877,846183,12.809917023307687,45.799592150703944,"24, 40, 163, 172, 281",num,,,,
DepTimeBlk_Elapsed,INTEGER,59,358,2,0,66.05706311021981,45.390084829023806,"59, 358",num,,,,
ArrTimeBlk_Elapsed,INTEGER,59,358,2,0,65.75079936542649,44.417516654697,"59, 358",num,,,,
DestWac,INTEGER,1,93,53,0,54.787596310748604,26.41232702223315,"87, 31, 86, 63, 34",cat,,,,
OriginWac,INTEGER,1,93,53,0,54.78743771533269,26.412263797759657,"35, 85, 5, 51, 91",cat,,,,
