Column_Name,Data_Type,Min_Value,Max_Value,Unique_Values_Count,Missing_Values_Count,Mean_Value,Std_Dev,Sample_Values,Role,Skip_reason_phik,Data_leakage
OriginAirportID,INTEGER,10135,16869,388,0,12676.29824237914,1525.4454867867305,"11042, 13495, 11413, 15041, 15389",num,unk,unk
TaxiIn,FLOAT,0,316,260,793143,7.532168695218438,6.092500979366169,"61, 108, 159, 93, 129",num,unk,true
ArrDel15,FLOAT,0,1,2,846183,0.1766207078066823,0.381347398720173,"0, 1",hot,unk,unk
DepartureDelayGroups,FLOAT,-2,12,15,763084,-0.0160949618612951,2.164260832218235,"2, 3, 1, 12, 8",num,unk,unk
IATA_Code_Operating_Airline,STRING,9E,ZW,28,0,,,"C5, ZW, F9, AS, KS",cat,unk,unk
AirTime,FLOAT,-1244,1557,699,852561,109.0875029343302,69.06668637844243,"30, 173, 166, 218, 111",num,unk,unk
Marketing_Airline_Network,STRING,AA,WN,11,0,,,"AA, NK, F9, AS, HA",cat,unk,unk
DestState,STRING,AK,WY,53,0,,,"IL, WI, RI, VA, TX",cat,unk,unk
OriginCityName,STRING,"Aberdeen, SD","Yuma, AZ",381,0,,,"Burbank, CA, Kansas City, MO, King Salmon, AK, Columbia, SC, Indianapolis, IN",cat,unk,unk
DepDel15,FLOAT,0,1,2,763084,0.1727673376151369,0.3780460153148454,"1, 0",hot,unk,unk
DestStateName,STRING,Alabama,Wyoming,53,0,,,"U.S. Pacific Trust Territories and Possessions, South Carolina, West Virginia, New York, Colorado",cat,unk,unk
TaxiOut,FLOAT,0,1394,202,780561,16.71093794681004,9.391262236498877,"76, 118, 145, 18, 86",num,unk,true
ActualElapsedTime,FLOAT,-1228,1604,733,845637,133.29412005618008,70.77802766304684,"111, 168, 152, 30, 254",num,unk,true
DayOfWeek,INTEGER,1,7,7,0,3.97487858887211,2.002314028017865,"7, 2, 4, 6, 3",hot,unk,unk
Month,INTEGER,1,12,12,0,6.3278404627396325,3.45230468141326,"11, 7, 8, 2, 12",hot,unk,unk
DestCityMarketID,INTEGER,30070,36133,362,0,31761.10825716243,1325.0959531158562,"33495, 30990, 31884, 32323, 33667",num,unk,unk
DestStateFips,INTEGER,1,78,53,0,27.2950227551881,16.655988793319874,"29, 50, 54, 20, 72",num,unk,unk
DestCityName,STRING,"Aberdeen, SD","Yuma, AZ",381,0,,,"Clarksburg/Fairmont, WV, Mosinee, WI, El Paso, TX, Fayetteville, NC, Fort Lauderdale, FL",unk,unk,unk
DepDelayMinutes,FLOAT,0,7223,1862,763084,12.78310732997129,46.173367259388016,"30, 152, 166, 173, 133",num,unk,true
ArrDelay,FLOAT,-1290,7232,2052,846183,3.609370268007529,49.27916456855153,"50, 177, 54, 64, 120",num,unk,unk
DOT_ID_Marketing_Airline,INTEGER,19393,21171,11,0,19827.92558165298,277.6014787709897,"20409, 20416, 19393, 19690, 20436",num,unk,unk
Diverted,BOOLEAN,false,true,2,0,,,"false, true",num,unk,true
DivAirportLandings,FLOAT,0,9,5,90,0.0035058258475837,0.1127534275166688,"1, 0, 9, 2, 3",num,unk,unk
Origin,STRING,ABE,YUM,388,0,,,"PGD, BTR, FSD, JAN, VPS",unk,unk,unk
DestWac,INTEGER,1,93,53,0,54.78759631074863,26.412327022233164,"62, 92, 72, 88, 11",unk,unk,unk
Operated_or_Branded_Code_Share_Partners,STRING,AA,WN,16,0,,,"NK, AA, HA_CODESHARE, B6, AA_CODESHARE",cat,unk,unk
